"matchweek","home_ticket","away_ticket","match_time","match_id"
28,"54634","6070","2024-07-08 19:00:00","ARSAVL"
37,"54634","6070","2024-09-09 19:00:00","ARSBHA"
8,"54634","6070","2024-02-19 19:00:00","ARSBOU"
17,"54634","6070","2024-04-22 19:00:00","ARSBRE"
26,"54634","6070","2024-06-24 19:00:00","ARSBUR"
35,"54634","6070","2024-08-26 19:00:00","ARSCHE"
6,"54634","6070","2024-02-05 19:00:00","ARSCRY"
15,"54634","6070","2024-04-08 19:00:00","ARSEVE"
24,"54634","6070","2024-06-10 19:00:00","ARSFUL"
33,"54634","6070","2024-08-12 19:00:00","ARSLIV"
4,"54634","6070","2024-01-22 19:00:00","ARSLUT"
13,"54634","6070","2024-03-25 19:00:00","ARSMCI"
22,"54634","6070","2024-05-27 19:00:00","ARSMUN"
31,"54634","6070","2024-07-29 19:00:00","ARSNEW"
2,"54634","6070","2024-01-08 19:00:00","ARSNOT"
11,"54634","6070","2024-03-11 19:00:00","ARSSHE"
20,"54634","6070","2024-05-13 19:00:00","ARSTOT"
29,"54634","6070","2024-07-15 19:00:00","ARSWHU"
38,"54634","6070","2024-09-16 19:00:00","ARSWOL"
9,"38475","4274","2024-02-26 19:00:00","AVLARS"
8,"38475","4274","2024-02-19 19:00:00","AVLBHA"
17,"38475","4274","2024-04-22 19:00:00","AVLBOU"
26,"38475","4274","2024-06-24 19:00:00","AVLBRE"
35,"38475","4274","2024-08-26 19:00:00","AVLBUR"
6,"38475","4274","2024-02-05 19:00:00","AVLCHE"
15,"38475","4274","2024-04-08 19:00:00","AVLCRY"
24,"38475","4274","2024-06-10 19:00:00","AVLEVE"
33,"38475","4274","2024-08-12 19:00:00","AVLFUL"
4,"38475","4274","2024-01-22 19:00:00","AVLLIV"
13,"38475","4274","2024-03-25 19:00:00","AVLLUT"
22,"38475","4274","2024-05-27 19:00:00","AVLMCI"
31,"38475","4274","2024-07-29 19:00:00","AVLMUN"
2,"38475","4274","2024-01-08 19:00:00","AVLNEW"
11,"38475","4274","2024-03-11 19:00:00","AVLNOT"
20,"38475","4274","2024-05-13 19:00:00","AVLSHE"
29,"38475","4274","2024-07-15 19:00:00","AVLTOT"
38,"38475","4274","2024-09-16 19:00:00","AVLWHU"
18,"38475","4274","2024-04-29 19:00:00","AVLWOL"
18,"28620","3180","2024-04-29 19:00:00","BHAARS"
27,"28620","3180","2024-07-01 19:00:00","BHAAVL"
26,"28620","3180","2024-06-24 19:00:00","BHABOU"
35,"28620","3180","2024-08-26 19:00:00","BHABRE"
6,"28620","3180","2024-02-05 19:00:00","BHABUR"
15,"28620","3180","2024-04-08 19:00:00","BHACHE"
24,"28620","3180","2024-06-10 19:00:00","BHACRY"
33,"28620","3180","2024-08-12 19:00:00","BHAEVE"
4,"28620","3180","2024-01-22 19:00:00","BHAFUL"
13,"28620","3180","2024-03-25 19:00:00","BHALIV"
22,"28620","3180","2024-05-27 19:00:00","BHALUT"
31,"28620","3180","2024-07-29 19:00:00","BHAMCI"
2,"28620","3180","2024-01-08 19:00:00","BHAMUN"
11,"28620","3180","2024-03-11 19:00:00","BHANEW"
20,"28620","3180","2024-05-13 19:00:00","BHANOT"
29,"28620","3180","2024-07-15 19:00:00","BHASHE"
38,"28620","3180","2024-09-16 19:00:00","BHATOT"
9,"28620","3180","2024-02-26 19:00:00","BHAWHU"
36,"28620","3180","2024-09-02 19:00:00","BHAWOL"
27,"8307","3000","2024-07-01 19:00:00","BOUARS"
36,"8307","3000","2024-09-02 19:00:00","BOUAVL"
7,"8307","3000","2024-02-12 19:00:00","BOUBHA"
6,"8307","3000","2024-02-05 19:00:00","BOUBRE"
15,"8307","3000","2024-04-08 19:00:00","BOUBUR"
24,"8307","3000","2024-06-10 19:00:00","BOUCHE"
33,"8307","3000","2024-08-12 19:00:00","BOUCRY"
4,"8307","3000","2024-01-22 19:00:00","BOUEVE"
13,"8307","3000","2024-03-25 19:00:00","BOUFUL"
22,"8307","3000","2024-05-27 19:00:00","BOULIV"
31,"8307","3000","2024-07-29 19:00:00","BOULUT"
2,"8307","3000","2024-01-08 19:00:00","BOUMCI"
11,"8307","3000","2024-03-11 19:00:00","BOUMUN"
20,"8307","3000","2024-05-13 19:00:00","BOUNEW"
29,"8307","3000","2024-07-15 19:00:00","BOUNOT"
38,"8307","3000","2024-09-16 19:00:00","BOUSHE"
9,"8307","3000","2024-02-26 19:00:00","BOUTOT"
18,"8307","3000","2024-04-29 19:00:00","BOUWHU"
16,"8307","3000","2024-04-15 19:00:00","BOUWOL"
36,"14250","3000","2024-09-02 19:00:00","BREARS"
7,"14250","3000","2024-02-12 19:00:00","BREAVL"
16,"14250","3000","2024-04-15 19:00:00","BREBHA"
25,"14250","3000","2024-06-17 19:00:00","BREBOU"
24,"14250","3000","2024-06-10 19:00:00","BREBUR"
33,"14250","3000","2024-08-12 19:00:00","BRECHE"
4,"14250","3000","2024-01-22 19:00:00","BRECRY"
13,"14250","3000","2024-03-25 19:00:00","BREEVE"
22,"14250","3000","2024-05-27 19:00:00","BREFUL"
31,"14250","3000","2024-07-29 19:00:00","BRELIV"
2,"14250","3000","2024-01-08 19:00:00","BRELUT"
11,"14250","3000","2024-03-11 19:00:00","BREMCI"
20,"14250","3000","2024-05-13 19:00:00","BREMUN"
29,"14250","3000","2024-07-15 19:00:00","BRENEW"
38,"14250","3000","2024-09-16 19:00:00","BRENOT"
9,"14250","3000","2024-02-26 19:00:00","BRESHE"
18,"14250","3000","2024-04-29 19:00:00","BRETOT"
27,"14250","3000","2024-07-01 19:00:00","BREWHU"
34,"14250","3000","2024-08-19 19:00:00","BREWOL"
7,"18944","3000","2024-02-12 19:00:00","BURARS"
16,"18944","3000","2024-04-15 19:00:00","BURAVL"
25,"18944","3000","2024-06-17 19:00:00","BURBHA"
34,"18944","3000","2024-08-19 19:00:00","BURBOU"
5,"18944","3000","2024-01-29 19:00:00","BURBRE"
4,"18944","3000","2024-01-22 19:00:00","BURCHE"
13,"18944","3000","2024-03-25 19:00:00","BURCRY"
22,"18944","3000","2024-05-27 19:00:00","BUREVE"
