"player_name","player_id","position","date_of_birth"
"Aaron Ramsdale","572","Goalkeeper","1998-05-14"
"Karl Hein","573","Goalkeeper","2002-04-13"
"David Raya","574","Goalkeeper","1995-09-15"
"Ben White","575","Defender","1997-10-08"
"Gabriel Magalhães","576","Defender","1997-12-19"
"William Saliba","577","Defender","2001-03-24"
"Jakub Kiwior","578","Defender","2000-02-15"
"Takehiro Tomiyasu","579","Defender","1998-11-05"
"Oleksandr Zinchenko","580","Defender","1996-12-15"
"Jurriën Timber","581","Defender","2001-06-17"
"James Sweet","582","Defender","2004-11-03"
"Cédric Soares","583","Defender","1991-08-31"
"Reuell Walters","584","Defender","2004-12-16"
"Thomas Partey","585","Midfielder","1993-06-13"
"Martin Ødegaard","586","Midfielder","1998-12-17"
"Emile Smith Rowe","587","Midfielder","2000-07-28"
" Jorginho","588","Midfielder","1991-12-20"
"Fábio Vieira","589","Midfielder","2000-05-30"
"Mohamed Elneny","590","Midfielder","1992-07-11"
"Mauro Bandeira","591","Midfielder","2004-04-19"
"Bradley Ibrahim","592","Midfielder","2004-10-21"
"Kai Havertz","593","Midfielder","1999-06-11"
"Declan Rice","594","Midfielder","1999-01-14"
"Amario Cozier-Duberry","595","Midfielder","2005-05-29"
"Bukayo Saka","596","Forward","2001-09-05"
"Gabriel Jesus","597","Forward","1997-04-03"
"Gabriel Martinelli","598","Forward","2001-06-18"
"Eddie Nketiah","599","Forward","1999-05-30"
"Leandro Trossard","600","Forward","1994-12-04"
"Reiss Nelson","601","Forward","1999-12-10"
"Charles Sagoe","602","Forward","2004-07-24"
"Emiliano Martínez","603","Goalkeeper","1992-09-02"
"Robin Olsen","604","Goalkeeper","1990-01-08"
"James Wright","605","Goalkeeper","2004-12-02"
"Filip Marschall","606","Goalkeeper","2003-04-24"
"Matty Cash","607","Defender","1997-08-07"
"Diego Carlos","608","Defender","1993-03-15"
"Ezri Konsa","609","Defender","1997-10-23"
"Tyrone Mings","610","Defender","1993-03-13"
"Álex Moreno","611","Defender","1993-06-08"
"Calum Chambers","612","Defender","1995-01-20"
"Lucas Digne","613","Defender","1993-07-20"
"Sil Swinkels","614","Defender","2004-01-06"
"Kortney Hause","615","Defender","1995-07-16"
"Pau Torres","616","Defender","1997-01-16"
"Josh Feeney","617","Defender","2005-05-06"
"Clément Lenglet","618","Defender","1995-06-17"
"Douglas Luiz","619","Midfielder","1998-05-09"
"John McGinn","620","Midfielder","1994-10-18"
"Emiliano Buendía","621","Midfielder","1996-12-25"
"Leander Dendoncker","622","Midfielder","1995-04-15"
"Jacob Ramsey","623","Midfielder","2001-05-28"
"Boubacar Kamara","624","Midfielder","1999-11-23"
"Tommi O'Reilly","625","Midfielder","2003-12-15"
"Travis Patterson","626","Midfielder","2005-10-06"
"Bertrand Traoré","627","Midfielder","1995-09-06"
"Leon Bailey","628","Midfielder","1997-08-09"
"Youri Tielemans","629","Midfielder","1997-05-07"
"Morgan Sanson","630","Midfielder","1994-08-18"
"Tim Iroegbunam","631","Midfielder","2003-06-30"
"Omari Kellyman","632","Midfielder","2005-09-25"
"Nicolò Zaniolo","633","Midfielder","1999-07-02"
"Kadan Young","634","Forward","2006-01-19"
"Ollie Watkins","635","Forward","1995-12-30"
"Jhon Durán","636","Forward","2003-12-13"
"Moussa Diaby","637","Forward","1999-07-07"
"Darren Randolph","638","Goalkeeper","1987-05-12"
" Neto","639","Goalkeeper","1989-07-19"
"Cameron Plain","640","Goalkeeper","2001-09-24"
"Andrei Radu","641","Goalkeeper","1997-05-28"
"Mark Travers","642","Goalkeeper","1999-05-18"
"Ryan Fredericks","643","Defender","1992-10-10"
"Lloyd Kelly","644","Defender","1998-10-06"
"Chris Mepham","645","Defender","1997-11-05"
"Adam Smith","646","Defender","1991-04-29"
"Marcos Senesi","647","Defender","1997-05-10"
"Illia Zabarnyi","648","Defender","2002-09-01"
"Ben Greenwood","649","Defender","2003-02-20"
"Milos Kerkez","650","Defender","2003-11-07"
"Max Aarons","651","Defender","2000-01-04"
"Lewis Cook","652","Midfielder","1997-02-03"
"David Brooks","653","Midfielder","1997-07-08"
"Ryan Christie","654","Midfielder","1995-02-22"
"Joe Rothwell","655","Midfielder","1995-01-11"
"Marcus Tavernier","656","Midfielder","1999-03-22"
"Philip Billing","657","Midfielder","1996-06-11"
"Hamed Traorè","658","Midfielder","2000-02-16"
"Emiliano Marcondes","659","Midfielder","1995-03-09"
"Gavin Kilkenny","660","Midfielder","2000-02-01"
"Alex Scott","661","Midfielder","2003-08-21"
"Tyler Adams","662","Midfielder","1999-02-14"
"Dominic Solanke","663","Forward","1997-09-14"
"Dango Ouattara","664","Forward","2002-02-11"
"Kieffer Moore","665","Forward","1992-08-08"
"Antoine Semenyo","666","Forward","2000-01-07"
"Justin Kluivert","667","Forward","1999-05-05"
"Luis Sinisterra","668","Forward","1999-06-17"
"Thomas Strakosha","669","Goalkeeper","1995-03-19"
"Mark Flekken","670","Goalkeeper","1993-06-13"
"Ellery Balcombe","671","Goalkeeper","1999-10-15"
"Aaron Hickey","672","Defender","2002-06-10"
"Rico Henry","673","Defender","1997-07-08"
"Ethan Pinnock","674","Defender","1993-05-29"
" Zanka","675","Defender","1990-04-23"
"Ben Mee","676","Defender","1989-09-21"
"Pontus Jansson","677","Defender","1991-02-13"
"Kristoffer Ajer","678","Defender","1998-04-17"
"Mads Roerslev","679","Defender","1999-06-24"
"Charlie Goode","680","Defender","1995-08-03"
"Nathan Collins","681","Defender","2001-04-30"
"Kim Ji-Soo","682","Defender","2004-12-24"
"Valintino Adedokun","683","Defender","2003-02-14"
"Christian Nørgaard","684","Midfielder","1994-03-10"
"Mathias Jensen","685","Midfielder","1996-01-01"
"Kevin Schade","686","Midfielder","2001-11-27"
"Josh Dasilva","687","Midfielder","1998-10-23"
"Yoane Wissa","688","Midfielder","1996-09-03"
"Frank Onyeka","689","Midfielder","1998-01-01"
"Bryan Mbeumo","690","Midfielder","1999-08-07"
"Mikkel Damsgaard","691","Midfielder","2000-07-03"
"Shandon Baptiste","692","Midfielder","1998-04-08"
"Vitaly Janelt","693","Midfielder","1998-05-10"
"Yehor Yarmoliuk","694","Midfielder","2004-03-01"
"Kevin Schade","695","Midfielder","2001-11-27"
"Myles Peart-Harris","696","Midfielder","2002-09-18"
"Ethan Brierley","697","Midfielder","2003-11-23"
"Ivan Toney","698","Forward","1996-03-16"
"Keane Lewis-Potter","699","Forward","2001-02-22"
"Michael Olakigbe","700","Forward","2004-04-25"
"Nathan Young-Coombes","701","Forward","2003-01-15"
"Joel Valencia","702","Forward","1994-11-16"
"Saman Ghoddos","703","Forward","1993-09-06"
"Neal Maupay","704","Forward","1996-08-14"
"Jason Steele","705","Goalkeeper","1990-08-18"
"Tom McGill","706","Goalkeeper","2000-03-25"
"Bart Verbruggen","707","Goalkeeper","2002-08-18"
"Tariq Lamptey","708","Defender","2000-09-30"
"Adam Webster","709","Defender","1995-01-04"
"Lewis Dunk","710","Defender","1991-11-21"
"Jan Paul van Hecke","711","Defender","2000-06-08"
"Pervis Estupiñán","712","Defender","1998-01-21"
"Joël Veltman","713","Defender","1992-01-15"
"Igor Julio","714","Defender","1998-02-07"
"Solly March","715","Midfielder","1994-07-20"
"Pascal Groß","716","Midfielder","1991-06-15"
"Adam Lallana","717","Midfielder",NULL
"Jakub Moder","718","Midfielder","1999-04-07"
"Kaoru Mitoma","719","Midfielder","1997-05-20"
"Billy Gilmour","720","Midfielder","2001-06-11"
"Facundo Buonanotte","721","Midfielder",NULL
"Jack Hinshelwood","722","Midfielder","2005-04-11"
"James Milner","723","Midfielder","1986-01-04"
"Mahmoud Dahoud","724","Midfielder","1996-01-01"
"Kacper Kozlowski","725","Midfielder","2003-10-16"
"Carlos Baleba","726","Midfielder","2004-01-03"
"Danny Welbeck","727","Forward","1990-11-26"
"Julio Enciso","728","Forward","2004-01-23"
"Evan Ferguson","729","Forward","2004-10-19"
"João Pedro","730","Forward","2001-09-26"
"Simon Adingra","731","Forward","2002-01-01"
"Benicio Baker-Boaitey","732","Forward","2004-01-09"
"Ansu Fati","733","Forward","2002-10-31"
"Joshua Duffus","734","Forward","2004-12-15"
"Mark O’Mahony","735","Forward",NULL
"Denis Franchi","736","Goalkeeper","2002-10-22"
"Arijanet Muric","737","Goalkeeper",NULL
"Lawrence Vigouroux","738","Goalkeeper","1993-11-19"
"James Trafford","739","Goalkeeper","2002-10-10"
"Charlie Taylor","740","Defender","1993-09-18"
"CJ Egan-Riley","741","Defender","2003-01-02"
"Connor Roberts","742","Defender","1995-09-23"
"Hjalmar Ekdal","743","Defender","1998-10-21"
" Vitinho","744","Defender","1999-07-23"
"Ameen Al Dakhil","745","Defender","2002-03-06"
"Jordan Beyer","746","Defender","2000-05-19"
"Dara O'Shea","747","Defender","1999-03-04"
"Hannes Delcroix","748","Defender","1999-02-28"
"Jack Cork","749","Midfielder","1989-06-25"
"Jóhann Gudmundsson","750","Midfielder","1990-10-27"
"Josh Brownhill","751","Midfielder","1995-12-19"
"Josh Cullen","752","Midfielder","1996-04-07"
"Nathan Redmond","753","Midfielder","1994-03-06"
"Sander Berge","754","Midfielder","1998-02-14"
"Aaron Ramsey","755","Midfielder","2003-01-21"
"Han-Noah Massengo","756","Midfielder","2001-07-07"
